"review_id","place_id","text","rating","timestamp","source"
"Ci9DQUlRQUNvZENodHljRjlvT21aMU5rSk5ORTFJTnpWaFJVVTFWM0ZQZURaeVNsRRAB","0098a8ed97daad56f4afab536d7620b8","nhân viên thân thiện máy cấu hình mạnh",5,"2026-01-05 00:47:35.441773","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT25GYU1XbHVOekpMZEZoMFlsUnFibU13YlRoRWMyYxAB","0098a8ed97daad56f4afab536d7620b8","quán không gian thoải mái phục vụ nhiệt tình",5,"2025-12-06 00:47:35.445063","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT25WeGRVaHZVV2cxY2pWUk4zRnBZV05aTFVKamRXYxAB","0098a8ed97daad56f4afab536d7620b8","được chơi game free quá đã",5,"2025-12-06 00:47:35.429829","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2tOaGIyRk5ZVTlyZEVGS1N6WnJPWEZCU1hrMmFIYxAB","0098a8ed97daad56f4afab536d7620b8","net cấu hình mạnh  nhân viên nhiệt tình  nạp đầu được x2",5,"2026-01-05 00:47:35.44003","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2pGaGRDMDVkbWRrVFc5QmJpMVVXSE4zWldsNVdsRRAB","0098a8ed97daad56f4afab536d7620b8","net cấu hình khủng nhất sg nhân viên làm việc trách nhiệm cao nhiệt tình",5,"2025-10-07 00:47:35.414751","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2t0SGEweGZMWFpvYkVadldrUnhUWHBoU0ZnNFFrRRAB","0098a8ed97daad56f4afab536d7620b8","nhân viên dễ thương máy tính và internet ổn định",5,"2025-11-06 00:47:35.434461","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2pCWlJFOTJla2R4Um5WTmJHWm9RbTFQVG5wbWFHYxAB","0098a8ed97daad56f4afab536d7620b8","quán này đỉnh lắm",5,"2026-01-05 00:47:35.433386","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT25OSmFUQjJkRlExZW1odWF6RldhRzl1T1hONU5VRRAB","0098a8ed97daad56f4afab536d7620b8","quán đông khách  máy chơi tốt  nhân viên rất nhiệt tình",5,"2026-01-05 00:47:35.425989","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2treWNVUm5lRmgyVlRKd1pubHhkelpZUzJSZmNYYxAB","0098a8ed97daad56f4afab536d7620b8","nhân viên dễ thương cực kì trời ơi là trời lỗi phát là fix ngay xong chở qua chi nhánh khác fix tiếp dàn máy siêu mượt nói chung là đcm tuyệt vời kinh khủng người không bao giờ có khai niệm net là gì nhưng mà đm tiệm này cả nhân cả dịch vụ tuyệt vời lắm ạ  ",5,"2026-02-04 00:47:35.412922","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT20xbVYwNVNaMlpzWm5sTGNHSnlMWEpZV1VaMVpFRRAB","0098a8ed97daad56f4afab536d7620b8","máy xịn mượt miễn phí cho hội viên 1 ngày",5,"2026-01-05 00:47:35.440533","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2s5blprdFlUWGh1YURrM1RVRTFXVUZhVWxCalQwRRAB","0098a8ed97daad56f4afab536d7620b8","gội đầu ở đây làm mình thư giãn đầu óc nhất là sau những ngày làm việc căng thẳng",5,"2026-02-04 00:47:35.424447","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT21aQmR6RTBhMVZoTkZOYVVGbzFNVWRwVDFkaFZXYxAB","0098a8ed97daad56f4afab536d7620b8","không gian mát mẻ thoải mái máy gear ok",5,"2026-01-05 00:47:35.44313","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT21welQwZzJUVkpmWVdwc2RtTlhkRlpWU2kxS1JtYxAB","0098a8ed97daad56f4afab536d7620b8","nhân viên nhiệt tình dịch vụ tốt cấu hình mạnh 3",5,"2025-11-06 00:47:35.437792","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2tGNGJqWlVSVkpTTm5OWGFYWjROMkpKV0hGbmNYYxAB","0098a8ed97daad56f4afab536d7620b8","nhân viên đẹp trai đặc biệt a cường chim siêu bự",5,"2026-02-04 00:47:35.440964","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT21KSWN6aGxhRUpSU2xWcVJGWTVVVnBoTUd3NGVXYxAB","0098a8ed97daad56f4afab536d7620b8","quán đỉnh nhaaa dịch vụ ổn lắm mấy ní",5,"2025-11-06 00:47:35.415504","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT201RVgyaENZM1pVYUZkNU5FOW9hbUU1WlRkc1FWRRAB","0098a8ed97daad56f4afab536d7620b8","quán đỉnh nhaaa dịch vụ ổn ạ",5,"2025-12-06 00:47:35.445465","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT20xbk5HWkVjbkEyUzJ0aVRXUXhZMmd3Y3pKcldtYxAB","0098a8ed97daad56f4afab536d7620b8","anh chủ quán dễ thương cực ",5,"2026-02-04 00:47:35.444223","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2tZMWRGZGpMV2RhTlhKYWVEUm9Ta3AzUjJORE4xRRAB","0098a8ed97daad56f4afab536d7620b8","máy ngon  anh chủ dễ thương 10 điểm nha",5,"2026-01-05 00:47:35.413959","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2s1dU0wNVRkMjFxY0ZSZmVsWldaV1UxTUhKcGIwRRAB","0098a8ed97daad56f4afab536d7620b8","máy ngon cấu hình tốt giá hợp lí",5,"2026-01-05 00:47:35.442638","google_maps"
"Ci9DQUlRQUNvZENodHljRjlvT2xsWGNucG9NVEpaUXpGTGRrVllTVkpEVFVwR1dWRRAB","0098a8ed97daad56f4afab536d7620b8","cấu hình khoẻ nhân viên tận tình trải nghiệm tuyệt vời",5,"2025-11-06 00:47:35.432908","google_maps"
